feature,mean_positive_shap,mean_abs_shap,mean_signed_shap,positive_rank
Methanobrevibacter_smithii,0.00020192909631049544,0.0004067444306585785,-2.8862380375877644e-06,179
Eubacterium_sulci,0.0001994593676167626,0.00041340843633545045,-1.4489701101924944e-05,180
Sellimonas_intestinalis,0.00019884356905359147,0.0004890894839002086,-9.140234579302592e-05,181
Alistipes_onderdonkii,0.00019795046916233505,0.00028115546204350296,0.00011474547628116722,182
Veillonella_sp_T11011_6,0.00019124680884860886,0.00030640086566371613,7.609275203350133e-05,183
Lactobacillus_rogosae,0.0001909111853427032,0.00027248612579140123,0.00010933624489400517,184
Turicibacter_sanguinis,0.00018655154036454553,0.0002915794865554988,8.152359417359228e-05,185
Coprococcus_eutactus,0.00018008291213797927,0.0004053689257821613,-4.520310150620268e-05,186
Intestinibacter_bartlettii,0.00017744644427059755,0.00037232977992174906,-1.7436891380554073e-05,187
Bacteroides_galacturonicus,0.0001725703067095536,0.0004679212240605309,-0.0001227806106414239,188
Faecalitalea_cylindroides,0.00017185625277658475,0.0004612163609101218,-0.00011750385535695229,189
Enterorhabdus_caecimuris,0.00017177191231826751,0.00029421413793581603,4.932968670071895e-05,190
Firmicutes_bacterium_CAG_170,0.00017150766747222156,0.00036597384151024025,-2.2958506565797362e-05,191
Clostridium_sp_CAG_299,0.00016476973940128043,0.00033170521917267947,-2.165740370118748e-06,192
Blautia_producta,0.00016083424792917215,0.0006027959543082585,-0.000281127458449914,193
Victivallis_vadensis,0.00015757373360672394,0.0002703182188299524,4.482924838349554e-05,194
Clostridium_scindens,0.00015539754362281928,0.00028558747501254266,2.5207612233096164e-05,195
Coprobacillus_cateniformis,0.00015407043370795244,0.00032947211999045543,-2.133125257455081e-05,196
Klebsiella_pneumoniae,0.0001523574721046113,0.00027551592000727733,2.9199024201945172e-05,197
Lactococcus_lactis,0.00014705812401488575,0.0003089730804748744,-1.4856832445103053e-05,198
Actinomyces_sp_ICM47,0.00014594847424770861,0.00024866163088224327,4.323531761317398e-05,199
Megasphaera_elsdenii,0.00013197120481851492,0.00021416767677477733,4.977473286225237e-05,200
Pseudoflavonifractor_sp_An184,0.00012681487051268274,0.0003295626862664501,-7.593294524108474e-05,201
Parabacteroides_johnsonii,0.00011485287977780416,0.00022262981346096958,7.075946094638698e-06,202
Actinomyces_sp_S6_Spd3,0.00011404828193414873,0.00019797071124292708,3.012585262537038e-05,203
